,event_id,matchday,date,home,score,away,home_score,away_score,home_win,away_win,tie,pred_home_win_prob,pred_away_win_prob,correct_pred,briar_score,briar_score_running_mean,running_briar_skill_score
29,30,8,2024-06-02,Atlético Ottawa,2–2,HFX Wanderers,2.0,2.0,0.0,0.0,1.0,0.6792450182784345,0.32075498172156547,2.0,0.35849003655686906,0.20181352896673546,0.19274588413305815
30,31,8,2024-06-02,Valour FC,2–0,Vancouver FC,2.0,0.0,1.0,0.0,0.0,0.4677356632905838,0.5322643367094162,0.0,0.28330532413271475,0.2044422965527348,0.1822308137890608
31,32,9,2024-06-08,HFX Wanderers,0–0,Pacific FC,0.0,0.0,0.0,0.0,1.0,0.47433798753788226,0.5256620124621177,2.0,0.05132402492423549,0.1996573505643442,0.20137059774262323
32,33,9,2024-06-08,Cavalry FC,1–0,Forge FC,1.0,0.0,1.0,0.0,0.0,0.4926063778908628,0.5073936221091372,0.0,0.25744828775702994,0.20140859108533468,0.19436563565866127
33,34,9,2024-06-09,Valour FC,0–2,Atlético Ottawa,0.0,2.0,0.0,1.0,0.0,0.42530954905384943,0.5746904509461506,1.0,0.18088821251638876,0.2008050505391892,0.19677979784324318
34,35,9,2024-06-09,York United,2–2,Vancouver FC,2.0,2.0,0.0,0.0,1.0,0.5439160667460656,0.45608393325393437,2.0,0.08783213349213126,0.19757725290927325,0.209690988362907
35,36,10,2024-06-14,Valour FC,2–3,Pacific FC,2.0,3.0,0.0,1.0,0.0,0.4600006375003928,0.5399993624996072,1.0,0.21160058650076777,0.19796678995348144,0.20813284018607425
36,37,10,2024-06-15,Atlético Ottawa,1–2,York United,1.0,2.0,0.0,1.0,0.0,0.6557281001498143,0.3442718998501857,0.0,0.4299793413260849,0.2042373994500383,0.1830504021998468
37,38,10,2024-06-15,HFX Wanderers,2–2,Forge FC,2.0,2.0,0.0,0.0,1.0,0.4335961295515992,0.5664038704484008,2.0,0.13280774089680158,0.20235767159337414,0.19056931362650342
38,39,10,2024-06-16,Vancouver FC,0–0,Cavalry FC,0.0,0.0,0.0,0.0,1.0,0.4884304542892368,0.5115695457107632,2.0,0.02313909142152637,0.19776232338383962,0.20895070646464153
39,40,11,2024-06-19,York United,2–0,Pacific FC,2.0,0.0,1.0,0.0,0.0,0.50539703152536,0.49460296847464,1.0,0.24463209642392575,0.19893406770984176,0.20426372916063296
40,41,11,2024-06-21,Cavalry FC,1–1,Atlético Ottawa,1.0,1.0,0.0,0.0,1.0,0.5393548039585822,0.46064519604141785,2.0,0.0787096079171643,0.19600176381245937,0.2159929447501625
41,42,11,2024-06-23,Forge FC,2–1,Valour FC,2.0,1.0,1.0,0.0,0.0,0.6965517724499375,0.3034482275500625,1.0,0.09208082680327452,0.1935274557884312,0.22589017684627521
42,43,11,2024-06-23,Vancouver FC,0–4,HFX Wanderers,0.0,4.0,0.0,1.0,0.0,0.5805504524755919,0.4194495475244081,0.0,0.3370388278696145,0.19686492955776103,0.2125402817689559
43,44,12,2024-06-27,Valour FC,1–0,York United,1.0,0.0,1.0,0.0,0.0,0.45029777021876355,0.5497022297812364,0.0,0.3021725414264632,0.19925828437295878,0.20296686250816487
44,45,12,2024-06-27,Pacific FC,1–2,Vancouver FC,1.0,2.0,0.0,1.0,0.0,0.5642436038577678,0.43575639614223216,0.0,0.3183708444944016,0.2019052301534353,0.19237907938625876
45,46,12,2024-06-28,Atlético Ottawa,4–3,Forge FC,4.0,3.0,1.0,0.0,0.0,0.5407216327139022,0.45927836728609783,1.0,0.2109366186569838,0.20210156468612114,0.19159374125551543
46,47,12,2024-07-01,HFX Wanderers,1–0,Cavalry FC,1.0,0.0,1.0,0.0,0.0,0.5227059235066641,0.4772940764933359,1.0,0.22780963545562635,0.20264854491525955,0.1894058203389618
47,48,13,2024-07-05,Forge FC,3–3,Vancouver FC,3.0,3.0,0.0,0.0,1.0,0.596613378542255,0.40338662145774495,2.0,0.1932267570845101,0.2024522576687856,0.19019096932485757
48,49,13,2024-07-06,York United,2–1,HFX Wanderers,2.0,1.0,1.0,0.0,0.0,0.5151772931113319,0.48482270688866813,1.0,0.2350530571148554,0.2031175801064605,0.187529679574158
49,50,13,2024-07-07,Atlético Ottawa,0–1,Pacific FC,0.0,1.0,0.0,1.0,0.0,0.6346226058954714,0.36537739410452863,0.0,0.40274585191355877,0.20711014554260246,0.17155941782959017
50,51,13,2024-07-07,Valour FC,0–1,Cavalry FC,0.0,1.0,0.0,1.0,0.0,0.4537474996154925,0.5462525003845076,1.0,0.20588679340731136,0.20708615824583204,0.17165536701667183
51,52,14,2024-07-12,Vancouver FC,0–3,Atlético Ottawa,0.0,3.0,0.0,1.0,0.0,0.512987944250552,0.48701205574944795,0.0,0.2631566309464075,0.20816443656699696,0.16734225373201217
52,53,14,2024-07-13,Cavalry FC,1–2,York United,1.0,2.0,0.0,1.0,0.0,0.5785519686990218,0.4214480313009782,0.0,0.3347223804855139,0.2105523223013086,0.1577907107947656
53,54,14,2024-07-14,Forge FC,2–1,Pacific FC,2.0,1.0,1.0,0.0,0.0,0.5786771877225583,0.4213228122774417,1.0,0.1775129121453724,0.20994048137249496,0.16023807451002015
54,56,15,2024-07-18,HFX Wanderers,,Valour FC,,,,,,0.643154881598508,0.356845118401492,0.0,,0.20994048137249496,0.16023807451002015
55,57,15,2024-07-20,Vancouver FC,,York United,,,,,,0.5450357785998681,0.45496422140013193,0.0,,0.20994048137249496,0.16023807451002015
56,58,15,2024-07-21,Atlético Ottawa,,Valour FC,,,,,,0.711572684116394,0.28842731588360604,0.0,,0.20994048137249496,0.16023807451002015
57,59,15,2024-07-21,Cavalry FC,,Forge FC,,,,,,0.5007086173622752,0.49929138263772477,0.0,,0.20994048137249496,0.16023807451002015
