,event_id,matchday,date,home,score,away,home_score,away_score,home_win,away_win,tie
20,20,6,2024-05-17,Pacific FC,0–1,Atlético Ottawa,0.0,1.0,0.0,1.0,0.0
21,21,6,2024-05-18,Forge FC,,Vancouver FC,,,,,
22,22,6,2024-05-18,Cavalry FC,,York United,,,,,
23,23,6,2024-05-20,HFX Wanderers,,Valour FC,,,,,
24,24,7,2024-05-24,York United,,HFX Wanderers,,,,,
25,25,7,2024-05-25,Atlético Ottawa,,Forge FC,,,,,
26,26,7,2024-05-25,Vancouver FC,,Pacific FC,,,,,
27,27,7,2024-05-26,Cavalry FC,,Valour FC,,,,,
28,28,8,2024-06-01,Forge FC,,York United,,,,,
29,29,8,2024-06-01,Pacific FC,,Cavalry FC,,,,,
30,30,8,2024-06-02,Atlético Ottawa,,HFX Wanderers,,,,,
31,31,8,2024-06-02,Valour FC,,Vancouver FC,,,,,
32,32,9,2024-06-08,HFX Wanderers,,Pacific FC,,,,,
33,33,9,2024-06-08,Cavalry FC,,Forge FC,,,,,
34,34,9,2024-06-09,Valour FC,,Atlético Ottawa,,,,,
35,35,9,2024-06-09,York United,,Vancouver FC,,,,,
36,36,10,2024-06-14,Valour FC,,Pacific FC,,,,,
37,37,10,2024-06-15,Atlético Ottawa,,York United,,,,,
38,38,10,2024-06-15,HFX Wanderers,,Forge FC,,,,,
39,39,10,2024-06-16,Vancouver FC,,Cavalry FC,,,,,
40,40,11,2024-06-19,York United,,Pacific FC,,,,,
41,41,11,2024-06-21,Cavalry FC,,Atlético Ottawa,,,,,
42,42,11,2024-06-23,Forge FC,,Valour FC,,,,,
43,43,11,2024-06-23,Vancouver FC,,HFX Wanderers,,,,,
44,44,12,2024-06-27,Valour FC,,York United,,,,,
45,45,12,2024-06-27,Pacific FC,,Vancouver FC,,,,,
46,46,12,2024-06-28,Atlético Ottawa,,Forge FC,,,,,
47,47,12,2024-07-01,HFX Wanderers,,Cavalry FC,,,,,
48,48,13,2024-07-05,Forge FC,,Vancouver FC,,,,,
49,49,13,2024-07-06,York United,,HFX Wanderers,,,,,
50,50,13,2024-07-07,Atlético Ottawa,,Pacific FC,,,,,
51,51,13,2024-07-07,Valour FC,,Cavalry FC,,,,,
52,52,14,2024-07-11,HFX Wanderers,,Pacific FC,,,,,
53,53,14,2024-07-12,Vancouver FC,,Atlético Ottawa,,,,,
54,54,14,2024-07-13,Cavalry FC,,York United,,,,,
55,55,14,2024-07-14,Forge FC,,Pacific FC,,,,,
56,56,15,2024-07-18,HFX Wanderers,,Valour FC,,,,,
57,57,15,2024-07-20,Vancouver FC,,York United,,,,,
58,58,15,2024-07-21,Atlético Ottawa,,Valour FC,,,,,
59,59,15,2024-07-21,Cavalry FC,,Forge FC,,,,,
60,60,16,2024-07-26,York United,,Atlético Ottawa,,,,,
61,61,16,2024-07-26,Vancouver FC,,Cavalry FC,,,,,
62,62,16,2024-07-27,Forge FC,,HFX Wanderers,,,,,
63,63,16,2024-07-28,Pacific FC,,Valour FC,,,,,
64,64,17,2024-08-02,Pacific FC,,York United,,,,,
65,65,17,2024-08-03,Atlético Ottawa,,Cavalry FC,,,,,
66,66,17,2024-08-04,Valour FC,,Forge FC,,,,,
67,67,17,2024-08-05,HFX Wanderers,,Vancouver FC,,,,,
68,68,18,2024-08-10,Cavalry FC,,HFX Wanderers,,,,,
69,69,18,2024-08-10,Forge FC,,Atlético Ottawa,,,,,
70,70,18,2024-08-11,Vancouver FC,,Pacific FC,,,,,
71,71,18,2024-08-11,Valour FC,,York United,,,,,
72,72,19,2024-08-16,York United,,Cavalry FC,,,,,
73,73,19,2024-08-17,Valour FC,,HFX Wanderers,,,,,
74,74,19,2024-08-17,Pacific FC,,Atlético Ottawa,,,,,
75,75,19,2024-08-18,Vancouver FC,,Forge FC,,,,,
76,76,20,2024-08-23,York United,,Forge FC,,,,,
77,77,20,2024-08-24,HFX Wanderers,,Atlético Ottawa,,,,,
78,78,20,2024-08-24,Cavalry FC,,Pacific FC,,,,,
79,79,20,2024-08-25,Valour FC,,Vancouver FC,,,,,
80,80,21,2024-08-30,Forge FC,,Pacific FC,,,,,
81,81,21,2024-08-30,Cavalry FC,,Valour FC,,,,,
82,82,21,2024-08-31,Atlético Ottawa,,Vancouver FC,,,,,
83,83,21,2024-09-02,HFX Wanderers,,York United,,,,,
84,84,22,2024-09-06,Vancouver FC,,York United,,,,,
85,85,22,2024-09-07,Forge FC,,Cavalry FC,,,,,
86,86,22,2024-09-07,Pacific FC,,HFX Wanderers,,,,,
87,87,22,2024-09-09,Valour FC,,Atlético Ottawa,,,,,
88,88,23,2024-09-13,York United,,Valour FC,,,,,
89,89,23,2024-09-14,HFX Wanderers,,Forge FC,,,,,
90,90,23,2024-09-14,Pacific FC,,Vancouver FC,,,,,
91,91,23,2024-09-15,Cavalry FC,,Atlético Ottawa,,,,,
92,92,24,2024-09-20,York United,,Cavalry FC,,,,,
93,93,24,2024-09-21,Valour FC,,HFX Wanderers,,,,,
94,94,24,2024-09-21,Vancouver FC,,Forge FC,,,,,
95,95,24,2024-09-22,Atlético Ottawa,,Pacific FC,,,,,
96,96,25,2024-09-28,Forge FC,,York United,,,,,
97,97,25,2024-09-28,Cavalry FC,,Vancouver FC,,,,,
98,98,25,2024-09-29,Atlético Ottawa,,HFX Wanderers,,,,,
99,99,25,2024-09-30,Valour FC,,Pacific FC,,,,,
100,100,26,2024-10-05,HFX Wanderers,,Vancouver FC,,,,,
101,101,26,2024-10-05,Pacific FC,,Cavalry FC,,,,,
102,102,26,2024-10-06,Valour FC,,Forge FC,,,,,
103,103,26,2024-10-06,York United,,Atlético Ottawa,,,,,
104,104,27,2024-10-10,York United,,Pacific FC,,,,,
105,105,27,2024-10-12,Forge FC,,Atlético Ottawa,,,,,
106,106,27,2024-10-12,Cavalry FC,,HFX Wanderers,,,,,
107,107,27,2024-10-13,Vancouver FC,,Valour FC,,,,,
108,108,28,2024-10-18,Pacific FC,,Forge FC,,,,,
109,109,28,2024-10-18,Valour FC,,Cavalry FC,,,,,
110,110,28,2024-10-18,Atlético Ottawa,,Vancouver FC,,,,,
111,111,28,2024-10-18,HFX Wanderers,,York United,,,,,
