,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
105,Regular Season,21.0,Sat,2023-08-26,16:00,HFX Wanderers,3–0,Valour FC,4907.0,Wanderers Grounds,Michael Venne,Match Report,
106,Regular Season,21.0,Sat,2023-08-26,19:00,Atlético Ottawa,0–0,Forge FC,5211.0,TD Place Stadium,Yusri Rudolf,Match Report,
107,Regular Season,21.0,Sun,2023-08-27,15:00,Cavalry FC,1–0,Pacific FC,4617.0,ATCO Field,Renzo Villanueva,Match Report,
108,,,,,,,,,,,,,
109,Regular Season,22.0,Sat,2023-09-02,15:00,Pacific FC,2–1,Valour FC,3286.0,Starlight Stadium,Carly Shaw-MacLaren,Match Report,
110,Regular Season,22.0,Sat,2023-09-02,19:00,Atlético Ottawa,1–2,Cavalry FC,5093.0,TD Place Stadium,Ben Hoskins,Match Report,
111,Regular Season,22.0,Sun,2023-09-03,14:00,Vancouver FC,0–3,Forge FC,2378.0,Willoughby Community Park Stadium,Alain Ruch,Match Report,
112,Regular Season,22.0,Mon,2023-09-04,15:00,HFX Wanderers,1–2,York9 FC,6254.0,Wanderers Grounds,Marie-Soleil Beaudoin,Match Report,
113,,,,,,,,,,,,,
114,Regular Season,23.0,Fri,2023-09-08,19:00,York9 FC,1–3,Valour FC,1118.0,York Lions Stadium,Mathieu Souaré,Match Report,
115,Regular Season,23.0,Sat,2023-09-09,19:00,Forge FC,0–0,Cavalry FC,6751.0,Tim Hortons Field,Michael Venne,Match Report,
116,Regular Season,23.0,Fri,2023-09-08,21:00,Pacific FC,1–1,HFX Wanderers,3153.0,Starlight Stadium,Alain Ruch,Match Report,
117,Regular Season,23.0,Sat,2023-09-09,19:00,Vancouver FC,2–1,Atlético Ottawa,2163.0,Willoughby Community Park Stadium,Sebastian Noshinravani,Match Report,
118,,,,,,,,,,,,,
119,Regular Season,24.0,Tue,2023-09-12,19:00,HFX Wanderers,1–2,Cavalry FC,5422.0,Wanderers Grounds,Yusri Rudolf,Match Report,
120,Regular Season,24.0,Wed,2023-09-13,17:30,Atlético Ottawa,1–1,Pacific FC,4236.0,TD Place Stadium,Scott Bowman,Match Report,
121,,,,,,,,,,,,,
122,Regular Season,25.0,Sat,2023-09-16,15:00,Cavalry FC,2–1,Vancouver FC,4989.0,ATCO Field,Marie-Soleil Beaudoin,Match Report,
123,Regular Season,25.0,Sun,2023-09-17,13:00,Valour FC,2–3,Forge FC,3296.0,IG Field,Fabrizio Stasolla,Match Report,
124,Regular Season,25.0,Sun,2023-09-17,17:00,York9 FC,1–4,Pacific FC,1151.0,York Lions Stadium,Myriam Marcotte,Match Report,
125,Regular Season,25.0,Mon,2023-09-18,19:00,HFX Wanderers,3–2,Atlético Ottawa,5132.0,Wanderers Grounds,Renzo Villanueva,Match Report,
126,,,,,,,,,,,,,
127,Regular Season,24.0,Wed,2023-09-20,19:00,Valour FC,0–1,Vancouver FC,3303.0,IG Field,Roberto D'Alesio,Match Report,
128,,,,,,,,,,,,,
129,Regular Season,26.0,Sat,2023-09-23,13:00,York9 FC,0–1,Cavalry FC,890.0,York Lions Stadium,Scott Bowman,Match Report,
130,Regular Season,26.0,Sat,2023-09-23,13:00,Vancouver FC,2–1,HFX Wanderers,2099.0,Willoughby Community Park Stadium,Mathieu Souaré,Match Report,
131,Regular Season,26.0,Sat,2023-09-23,19:00,Forge FC,3–1,Pacific FC,5327.0,Tim Hortons Field,Yusri Rudolf,Match Report,
132,Regular Season,26.0,Sun,2023-09-24,14:00,Atlético Ottawa,0–1,Valour FC,7044.0,TD Place Stadium,Michael Venne,Match Report,
